date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,year,month_name,weekday,month,season,rain_intensity,dtr,decade,daylight_hours,cloud_hours,sunshine_norm,cloud_cover_norm,precipitation_norm,radiance_score,radiance_percent,radiance_label,radiance_bin,daily_energy_j_per_m2,daily_energy_j,daily_rain_litres
1979-01-31,5,1.6,38.0,9.1,2.1,-3.1,2.4,101390.0,0.0,1979,January,Wednesday,1,Winter,Light Rain,12.2,1970,12,10.4,0.1,0.625,0.03883495145631068,1.4361650485436894,47.872168284789645,Mixed,"(47.529, 52.242]",3283200.0,39398400000000.0,28800000.0
1979-02-01,8,0.0,19.0,4.0,5.2,1.2,10.1,99490.0,0.0,1979,February,Thursday,2,Winter,Heavy Rain,2.8,1970,12,12.0,0.0,1.0,0.1634304207119741,0.8365695792880259,27.885652642934193,Gloomy,"(23.962, 28.676]",1641600.0,19699200000000.0,121200000.0
1979-02-02,5,1.4,37.0,5.9,2.8,1.5,0.0,99890.0,0.0,1979,February,Friday,2,Winter,No Rain,4.4,1970,12,10.6,0.0875,0.625,0.0,1.4625,48.75,Mixed,"(47.529, 52.242]",3196800.0,38361600000000.0,0.0
1979-02-03,1,8.7,85.0,4.5,0.9,-4.1,0.0,100770.0,0.0,1979,February,Saturday,2,Winter,No Rain,8.6,1970,12,3.3000000000000007,0.54375,0.125,0.0,2.41875,80.625,Bright,"(80.522, 85.235]",7344000.0,88128000000000.0,0.0
1979-02-04,8,0.1,23.0,6.0,1.6,-1.2,0.0,100060.0,0.0,1979,February,Sunday,2,Winter,No Rain,7.2,1970,12,11.9,0.00625,1.0,0.0,1.00625,33.54166666666667,Gloomy,"(33.389, 38.102]",1987200.0,23846400000000.0,0.0
1979-02-05,6,0.8,33.0,4.0,3.7,1.4,0.0,100250.0,0.0,1979,February,Monday,2,Winter,No Rain,2.6,1970,12,11.2,0.05,0.75,0.0,1.3,43.333333333333336,Mixed,"(42.816, 47.529]",2851200.0,34214400000000.0,0.0
1979-02-06,4,6.8,78.0,6.8,1.2,-1.6,9.0,101020.0,0.0,1979,February,Tuesday,2,Winter,Moderate Rain,8.4,1970,12,5.2,0.425,0.5,0.14563106796116507,1.7793689320388348,59.312297734627826,Mixed,"(56.955, 61.669]",6739200.0,80870400000000.0,108000000.0
1979-02-07,8,0.0,21.0,3.7,3.3,-0.2,0.4,99450.0,0.0,1979,February,Wednesday,2,Winter,Light Rain,3.9000000000000004,1970,12,12.0,0.0,1.0,0.006472491909385114,0.9935275080906149,33.11758360302049,Gloomy,"(28.676, 33.389]",1814400.0,21772800000000.0,4800000.0
1979-02-08,6,1.9,45.0,4.0,2.0,0.3,0.0,100740.0,0.0,1979,February,Thursday,2,Winter,No Rain,3.7,1970,12,10.1,0.11875,0.75,0.0,1.36875,45.625,Mixed,"(42.816, 47.529]",3888000.0,46656000000000.0,0.0
1979-02-09,8,0.0,22.0,3.5,2.4,0.8,0.0,100310.0,0.0,1979,February,Friday,2,Winter,No Rain,2.7,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",1900800.0,22809600000000.0,0.0
1979-02-10,8,0.0,23.0,2.9,2.8,2.1,0.0,99730.0,0.0,1979,February,Saturday,2,Winter,No Rain,0.7999999999999998,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",1987200.0,23846400000000.0,0.0
1979-02-11,8,0.0,23.0,5.4,2.4,1.9,4.4,99170.0,0.0,1979,February,Sunday,2,Winter,Moderate Rain,3.5000000000000004,1970,12,12.0,0.0,1.0,0.07119741100323626,0.9288025889967637,30.960086299892126,Gloomy,"(28.676, 33.389]",1987200.0,23846400000000.0,52800000.00000001
1979-02-12,8,0.1,27.0,8.1,2.8,0.3,6.7,98430.0,1.0,1979,February,Monday,2,Winter,Moderate Rain,7.8,1970,12,11.9,0.00625,1.0,0.10841423948220065,0.8978357605177993,29.927858683926644,Gloomy,"(28.676, 33.389]",2332800.0,27993600000000.0,80400000.0
1979-02-13,8,0.0,24.0,0.2,4.2,0.3,9.1,98130.0,0.0,1979,February,Tuesday,2,Winter,Moderate Rain,-0.09999999999999998,1970,12,12.0,0.0,1.0,0.14724919093851133,0.8527508090614887,28.42502696871629,Gloomy,"(23.962, 28.676]",2073600.0,24883200000000.0,109200000.0
1979-02-14,6,2.4,54.0,-0.8,-0.2,-0.7,0.0,99380.0,1.0,1979,February,Wednesday,2,Winter,No Rain,-0.10000000000000009,1970,12,9.6,0.15,0.75,0.0,1.4,46.666666666666664,Mixed,"(42.816, 47.529]",4665600.0,55987200000000.0,0.0
1979-02-15,7,0.0,25.0,0.6,-2.2,-3.7,0.1,100830.0,0.0,1979,February,Thursday,2,Winter,Light Rain,4.3,1970,12,12.0,0.0,0.875,0.0016181229773462784,1.1233818770226538,37.4460625674218,Gloomy,"(33.389, 38.102]",2160000.0,25920000000000.0,1200000.0
1979-02-16,8,0.0,25.0,-0.8,-1.2,-3.1,0.0,102270.0,1.0,1979,February,Friday,2,Winter,No Rain,2.3,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",2160000.0,25920000000000.0,0.0
1979-02-17,8,0.0,26.0,0.7,-1.2,-1.5,0.0,102180.0,0.0,1979,February,Saturday,2,Winter,No Rain,2.2,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",2246400.0,26956800000000.0,0.0
1979-02-18,8,0.0,26.0,1.9,-0.6,-1.8,0.0,101970.0,0.0,1979,February,Sunday,2,Winter,No Rain,3.7,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",2246400.0,26956800000000.0,0.0
1979-02-19,8,0.0,27.0,2.8,0.5,-0.9,0.1,102530.0,0.0,1979,February,Monday,2,Winter,Light Rain,3.6999999999999997,1970,12,12.0,0.0,1.0,0.0016181229773462784,0.9983818770226537,33.27939590075512,Gloomy,"(28.676, 33.389]",2332800.0,27993600000000.0,1200000.0
